,성별,확진자 수,사망자 수,날짜,날짜_dt
113,남성,14088807,16656.0,2023-02-17,2023-02-17
114,여성,16313419,17163.0,2023-02-16,2023-02-16
115,남성,14083801,16641.0,2023-02-16,2023-02-16
116,여성,16306315,17153.0,2023-02-15,2023-02-15
117,남성,14078386,16629.0,2023-02-15,2023-02-15
118,여성,16297984,17146.0,2023-02-14,2023-02-14
119,남성,14071760,16612.0,2023-02-14,2023-02-14
120,여성,16290170,17143.0,2023-02-13,2023-02-13
121,남성,14065203,16604.0,2023-02-13,2023-02-13
122,여성,16287419,17137.0,2023-02-12,2023-02-12
123,남성,14062780,16599.0,2023-02-12,2023-02-12
124,여성,16280659,17124.0,2023-02-11,2023-02-11
125,남성,14057489,16589.0,2023-02-11,2023-02-11
126,여성,16273548,17121.0,2023-02-10,2023-02-10
127,남성,14051935,16576.0,2023-02-10,2023-02-10
128,여성,16266061,17114.0,2023-02-09,2023-02-09
129,남성,14045918,16566.0,2023-02-09,2023-02-09
130,여성,16257844,17099.0,2023-02-08,2023-02-08
131,남성,14039471,16547.0,2023-02-08,2023-02-08
132,여성,16248006,17090.0,2023-02-07,2023-02-07
133,남성,14031375,16534.0,2023-02-07,2023-02-07
134,여성,16239325,17085.0,2023-02-06,2023-02-06
135,남성,14023936,16529.0,2023-02-06,2023-02-06
136,여성,16236218,17080.0,2023-02-05,2023-02-05
137,남성,14021193,16516.0,2023-02-05,2023-02-05
138,여성,16228431,17072.0,2023-02-04,2023-02-04
139,남성,14014962,16502.0,2023-02-04,2023-02-04
140,여성,16220564,17061.0,2023-02-03,2023-02-03
141,남성,14008325,16491.0,2023-02-03,2023-02-03
142,여성,16212356,17048.0,2023-02-02,2023-02-02
143,남성,14001572,16474.0,2023-02-02,2023-02-02
144,여성,16203195,17031.0,2023-02-01,2023-02-01
145,남성,13993871,16455.0,2023-02-01,2023-02-01
146,여성,16192149,17014.0,2023-01-31,2023-01-31
147,남성,13984497,16430.0,2023-01-31,2023-01-31
148,여성,16181686,17004.0,2023-01-30,2023-01-30
149,남성,13975331,16416.0,2023-01-30,2023-01-30
150,여성,16177750,16990.0,2023-01-29,2023-01-29
151,남성,13971851,16400.0,2023-01-29,2023-01-29
152,여성,16167225,16981.0,2023-01-28,2023-01-28
153,남성,13963505,16380.0,2023-01-28,2023-01-28
154,여성,16154143,16967.0,2023-01-27,2023-01-27
155,남성,13953220,16365.0,2023-01-27,2023-01-27
156,여성,16136454,16947.0,2023-01-26,2023-01-26
157,남성,13939198,16349.0,2023-01-26,2023-01-26
158,여성,16116805,16939.0,2023-01-25,2023-01-25
159,남성,13923751,16331.0,2023-01-25,2023-01-25
160,여성,16105947,16927.0,2023-01-24,2023-01-24
161,남성,13915071,16318.0,2023-01-24,2023-01-24
162,여성,16099372,16923.0,2023-01-23,2023-01-23
163,남성,13909384,16312.0,2023-01-23,2023-01-23
164,여성,16094557,16910.0,2023-01-22,2023-01-22
165,남성,13904972,16299.0,2023-01-22,2023-01-22
166,여성,16085393,16900.0,2023-01-21,2023-01-21
167,남성,13897512,16285.0,2023-01-21,2023-01-21
168,여성,16069844,16873.0,2023-01-20,2023-01-20
169,남성,13885522,16261.0,2023-01-20,2023-01-20
170,여성,16054424,16855.0,2023-01-19,2023-01-19
171,남성,13873534,16249.0,2023-01-19,2023-01-19
172,여성,16037751,16840.0,2023-01-18,2023-01-18
173,남성,13860391,16217.0,2023-01-18,2023-01-18
174,여성,16017046,16824.0,2023-01-17,2023-01-17
