,나이,확진자 수,사망자 수,날짜,날짜_dt
1349,80대 이상,839434,17694.0,2022-11-17,2022-11-17
1350,10대 미만,2851605,34.0,2022-11-16,2022-11-16
1351,10대,3356942,17.0,2022-11-16,2022-11-16
1352,20대,3868641,74.0,2022-11-16,2022-11-16
1353,30대,3838823,139.0,2022-11-16,2022-11-16
1354,40대,4017326,406.0,2022-11-16,2022-11-16
1355,50대,3377961,1229.0,2022-11-16,2022-11-16
1356,60대,2802079,3429.0,2022-11-16,2022-11-16
1357,70대,1407426,6815.0,2022-11-16,2022-11-16
1358,80대 이상,836661,17652.0,2022-11-16,2022-11-16
1359,10대 미만,2847588,34.0,2022-11-15,2022-11-15
1360,10대,3349814,17.0,2022-11-15,2022-11-15
1361,20대,3859708,74.0,2022-11-15,2022-11-15
1362,30대,3829371,138.0,2022-11-15,2022-11-15
1363,40대,4007507,405.0,2022-11-15,2022-11-15
1364,50대,3368466,1226.0,2022-11-15,2022-11-15
1365,60대,2793421,3424.0,2022-11-15,2022-11-15
1366,70대,1402178,6807.0,2022-11-15,2022-11-15
1367,80대 이상,832824,17623.0,2022-11-15,2022-11-15
1368,10대 미만,2842960,34.0,2022-11-14,2022-11-14
1369,10대,3341241,17.0,2022-11-14,2022-11-14
1370,20대,3849993,74.0,2022-11-14,2022-11-14
1371,30대,3818589,138.0,2022-11-14,2022-11-14
1372,40대,3995968,402.0,2022-11-14,2022-11-14
1373,50대,3357742,1226.0,2022-11-14,2022-11-14
1374,60대,2784712,3422.0,2022-11-14,2022-11-14
1375,70대,1396966,6798.0,2022-11-14,2022-11-14
1376,80대 이상,829823,17598.0,2022-11-14,2022-11-14
1377,10대 미만,2840974,34.0,2022-11-13,2022-11-13
1378,10대,3338332,17.0,2022-11-13,2022-11-13
1379,20대,3846922,74.0,2022-11-13,2022-11-13
1380,30대,3814990,138.0,2022-11-13,2022-11-13
1381,40대,3992184,402.0,2022-11-13,2022-11-13
1382,50대,3354605,1225.0,2022-11-13,2022-11-13
1383,60대,2782048,3418.0,2022-11-13,2022-11-13
1384,70대,1395460,6785.0,2022-11-13,2022-11-13
1385,80대 이상,828714,17572.0,2022-11-13,2022-11-13
1386,10대 미만,2837965,34.0,2022-11-12,2022-11-12
1387,10대,3332984,17.0,2022-11-12,2022-11-12
1388,20대,3841089,74.0,2022-11-12,2022-11-12
1389,30대,3808623,138.0,2022-11-12,2022-11-12
1390,40대,3985203,402.0,2022-11-12,2022-11-12
1391,50대,3347388,1224.0,2022-11-12,2022-11-12
1392,60대,2775143,3412.0,2022-11-12,2022-11-12
1393,70대,1391354,6778.0,2022-11-12,2022-11-12
1394,80대 이상,826015,17538.0,2022-11-12,2022-11-12
1395,10대 미만,2834831,34.0,2022-11-11,2022-11-11
1396,10대,3326603,17.0,2022-11-11,2022-11-11
1397,20대,3834159,74.0,2022-11-11,2022-11-11
1398,30대,3801415,138.0,2022-11-11,2022-11-11
1399,40대,3977478,400.0,2022-11-11,2022-11-11
1400,50대,3339548,1222.0,2022-11-11,2022-11-11
1401,60대,2767727,3408.0,2022-11-11,2022-11-11
1402,70대,1386893,6764.0,2022-11-11,2022-11-11
1403,80대 이상,822885,17514.0,2022-11-11,2022-11-11
1404,10대 미만,2831492,34.0,2022-11-10,2022-11-10
1405,10대,3320405,17.0,2022-11-10,2022-11-10
1406,20대,3826903,74.0,2022-11-10,2022-11-10
1407,30대,3793839,138.0,2022-11-10,2022-11-10
1408,40대,3969590,399.0,2022-11-10,2022-11-10
1409,50대,3331679,1222.0,2022-11-10,2022-11-10
1410,60대,2760417,3403.0,2022-11-10,2022-11-10
1411,70대,1382635,6757.0,2022-11-10,2022-11-10
1412,80대 이상,820060,17487.0,2022-11-10,2022-11-10
1413,10대 미만,2828178,34.0,2022-11-09,2022-11-09
1414,10대,3314380,17.0,2022-11-09,2022-11-09
1415,20대,3819210,74.0,2022-11-09,2022-11-09
1416,30대,3785893,138.0,2022-11-09,2022-11-09
1417,40대,3961214,398.0,2022-11-09,2022-11-09
1418,50대,3323678,1221.0,2022-11-09,2022-11-09
1419,60대,2753298,3398.0,2022-11-09,2022-11-09
1420,70대,1378529,6751.0,2022-11-09,2022-11-09
1421,80대 이상,817275,17448.0,2022-11-09,2022-11-09
1422,10대 미만,2824426,34.0,2022-11-08,2022-11-08
1423,10대,3307050,17.0,2022-11-08,2022-11-08
1424,20대,3810593,74.0,2022-11-08,2022-11-08
1425,30대,3777132,138.0,2022-11-08,2022-11-08
1426,40대,3952045,397.0,2022-11-08,2022-11-08
1427,50대,3314889,1220.0,2022-11-08,2022-11-08
1428,60대,2745345,3392.0,2022-11-08,2022-11-08
1429,70대,1373951,6742.0,2022-11-08,2022-11-08
1430,80대 이상,813752,17406.0,2022-11-08,2022-11-08
1431,10대 미만,2820442,34.0,2022-11-07,2022-11-07
1432,10대,3299072,17.0,2022-11-07,2022-11-07
1433,20대,3802374,74.0,2022-11-07,2022-11-07
1434,30대,3767933,138.0,2022-11-07,2022-11-07
1435,40대,3942241,396.0,2022-11-07,2022-11-07
1436,50대,3306249,1219.0,2022-11-07,2022-11-07
1437,60대,2737864,3388.0,2022-11-07,2022-11-07
1438,70대,1369450,6734.0,2022-11-07,2022-11-07
1439,80대 이상,811285,17390.0,2022-11-07,2022-11-07
1440,10대 미만,2818812,34.0,2022-11-06,2022-11-06
1441,10대,3296802,17.0,2022-11-06,2022-11-06
1442,20대,3799942,74.0,2022-11-06,2022-11-06
1443,30대,3765053,138.0,2022-11-06,2022-11-06
1444,40대,3939277,396.0,2022-11-06,2022-11-06
1445,50대,3303808,1219.0,2022-11-06,2022-11-06
1446,60대,2735815,3386.0,2022-11-06,2022-11-06
1447,70대,1368307,6733.0,2022-11-06,2022-11-06
1448,80대 이상,810423,17375.0,2022-11-06,2022-11-06
1449,10대 미만,2816489,34.0,2022-11-05,2022-11-05
1450,10대,3292722,17.0,2022-11-05,2022-11-05
1451,20대,3795554,74.0,2022-11-05,2022-11-05
1452,30대,3760151,138.0,2022-11-05,2022-11-05
1453,40대,3933991,396.0,2022-11-05,2022-11-05
1454,50대,3298370,1219.0,2022-11-05,2022-11-05
1455,60대,2730664,3385.0,2022-11-05,2022-11-05
1456,70대,1365216,6730.0,2022-11-05,2022-11-05
1457,80대 이상,808407,17361.0,2022-11-05,2022-11-05
1458,10대 미만,2813886,34.0,2022-11-04,2022-11-04
1459,10대,3287916,17.0,2022-11-04,2022-11-04
1460,20대,3790411,74.0,2022-11-04,2022-11-04
1461,30대,3754813,138.0,2022-11-04,2022-11-04
1462,40대,3928277,396.0,2022-11-04,2022-11-04
1463,50대,3292454,1217.0,2022-11-04,2022-11-04
1464,60대,2725048,3384.0,2022-11-04,2022-11-04
1465,70대,1361837,6716.0,2022-11-04,2022-11-04
1466,80대 이상,806059,17339.0,2022-11-04,2022-11-04
1467,10대 미만,2811120,34.0,2022-11-03,2022-11-03
1468,10대,3282896,17.0,2022-11-03,2022-11-03
1469,20대,3784676,74.0,2022-11-03,2022-11-03
1470,30대,3749003,138.0,2022-11-03,2022-11-03
1471,40대,3922115,396.0,2022-11-03,2022-11-03
1472,50대,3286069,1215.0,2022-11-03,2022-11-03
1473,60대,2719060,3382.0,2022-11-03,2022-11-03
1474,70대,1358446,6710.0,2022-11-03,2022-11-03
1475,80대 이상,803892,17314.0,2022-11-03,2022-11-03
1476,10대 미만,2808217,34.0,2022-11-02,2022-11-02
1477,10대,3277765,17.0,2022-11-02,2022-11-02
1478,20대,3778338,74.0,2022-11-02,2022-11-02
1479,30대,3742317,138.0,2022-11-02,2022-11-02
1480,40대,3915009,396.0,2022-11-02,2022-11-02
1481,50대,3279315,1213.0,2022-11-02,2022-11-02
1482,60대,2712894,3375.0,2022-11-02,2022-11-02
1483,70대,1354858,6704.0,2022-11-02,2022-11-02
1484,80대 이상,801694,17288.0,2022-11-02,2022-11-02
1485,10대 미만,2808217,34.0,2022-11-02,2022-11-02
1486,10대,3277765,17.0,2022-11-02,2022-11-02
1487,20대,3778338,74.0,2022-11-02,2022-11-02
1488,30대,3742317,138.0,2022-11-02,2022-11-02
1489,40대,3915009,396.0,2022-11-02,2022-11-02
1490,50대,3279315,1213.0,2022-11-02,2022-11-02
1491,60대,2712894,3375.0,2022-11-02,2022-11-02
1492,70대,1354858,6704.0,2022-11-02,2022-11-02
1493,80대 이상,801694,17288.0,2022-11-02,2022-11-02
1494,10대 미만,2804887,34.0,2022-11-01,2022-11-01
1495,10대,3271149,17.0,2022-11-01,2022-11-01
1496,20대,3770873,74.0,2022-11-01,2022-11-01
1497,30대,3734558,138.0,2022-11-01,2022-11-01
1498,40대,3907026,396.0,2022-11-01,2022-11-01
1499,50대,3271658,1212.0,2022-11-01,2022-11-01
1500,60대,2706084,3372.0,2022-11-01,2022-11-01
1501,70대,1350691,6697.0,2022-11-01,2022-11-01
1502,80대 이상,798741,17269.0,2022-11-01,2022-11-01
1503,10대 미만,2801216,34.0,2022-10-31,2022-10-31
1504,10대,3263047,17.0,2022-10-31,2022-10-31
1505,20대,3763182,74.0,2022-10-31,2022-10-31
1506,30대,3725967,138.0,2022-10-31,2022-10-31
1507,40대,3897920,396.0,2022-10-31,2022-10-31
1508,50대,3263652,1212.0,2022-10-31,2022-10-31
1509,60대,2699327,3370.0,2022-10-31,2022-10-31
1510,70대,1346544,6690.0,2022-10-31,2022-10-31
1511,80대 이상,796454,17245.0,2022-10-31,2022-10-31
1512,10대 미만,2799632,34.0,2022-10-31,2022-10-31
1513,10대,3260522,17.0,2022-10-31,2022-10-31
1514,20대,3760790,74.0,2022-10-31,2022-10-31
1515,30대,3723126,138.0,2022-10-31,2022-10-31
1516,40대,3895029,396.0,2022-10-31,2022-10-31
1517,50대,3261325,1210.0,2022-10-31,2022-10-31
1518,60대,2697355,3369.0,2022-10-31,2022-10-31
1519,70대,1345414,6685.0,2022-10-31,2022-10-31
1520,80대 이상,795606,17235.0,2022-10-31,2022-10-31
1521,10대 미만,2799632,34.0,2022-10-30,2022-10-30
1522,10대,3260522,17.0,2022-10-30,2022-10-30
1523,20대,3760790,74.0,2022-10-30,2022-10-30
1524,30대,3723126,138.0,2022-10-30,2022-10-30
1525,40대,3895029,396.0,2022-10-30,2022-10-30
1526,50대,3261325,1210.0,2022-10-30,2022-10-30
1527,60대,2697355,3369.0,2022-10-30,2022-10-30
1528,70대,1345414,6685.0,2022-10-30,2022-10-30
1529,80대 이상,795606,17235.0,2022-10-30,2022-10-30
1530,10대 미만,2797577,34.0,2022-10-29,2022-10-29
1531,10대,3256415,17.0,2022-10-29,2022-10-29
1532,20대,3756652,74.0,2022-10-29,2022-10-29
1533,30대,3718643,138.0,2022-10-29,2022-10-29
1534,40대,3889877,396.0,2022-10-29,2022-10-29
1535,50대,3256361,1208.0,2022-10-29,2022-10-29
1536,60대,2692585,3367.0,2022-10-29,2022-10-29
1537,70대,1342519,6681.0,2022-10-29,2022-10-29
1538,80대 이상,793659,17216.0,2022-10-29,2022-10-29
1539,10대 미만,2795256,34.0,2022-10-28,2022-10-28
1540,10대,3251791,17.0,2022-10-28,2022-10-28
1541,20대,3752076,74.0,2022-10-28,2022-10-28
1542,30대,3713799,138.0,2022-10-28,2022-10-28
1543,40대,3884523,396.0,2022-10-28,2022-10-28
1544,50대,3250926,1206.0,2022-10-28,2022-10-28
1545,60대,2687465,3361.0,2022-10-28,2022-10-28
1546,70대,1339484,6677.0,2022-10-28,2022-10-28
1547,80대 이상,791672,17197.0,2022-10-28,2022-10-28
1548,10대 미만,2793035,34.0,2022-10-27,2022-10-27
1549,10대,3247449,17.0,2022-10-27,2022-10-27
1550,20대,3747467,74.0,2022-10-27,2022-10-27
1551,30대,3708849,138.0,2022-10-27,2022-10-27
1552,40대,3879304,396.0,2022-10-27,2022-10-27
1553,50대,3245803,1203.0,2022-10-27,2022-10-27
1554,60대,2682598,3356.0,2022-10-27,2022-10-27
1555,70대,1336741,6669.0,2022-10-27,2022-10-27
1556,80대 이상,789859,17182.0,2022-10-27,2022-10-27
1557,10대 미만,2790831,34.0,2022-10-26,2022-10-26
1558,10대,3243482,17.0,2022-10-26,2022-10-26
1559,20대,3742955,74.0,2022-10-26,2022-10-26
1560,30대,3703992,138.0,2022-10-26,2022-10-26
1561,40대,3874000,396.0,2022-10-26,2022-10-26
1562,50대,3240760,1203.0,2022-10-26,2022-10-26
1563,60대,2677962,3354.0,2022-10-26,2022-10-26
1564,70대,1334052,6664.0,2022-10-26,2022-10-26
1565,80대 이상,788121,17163.0,2022-10-26,2022-10-26
1566,10대 미만,2788281,34.0,2022-10-25,2022-10-25
1567,10대,3238565,17.0,2022-10-25,2022-10-25
1568,20대,3737796,74.0,2022-10-25,2022-10-25
1569,30대,3698197,138.0,2022-10-25,2022-10-25
1570,40대,3868068,395.0,2022-10-25,2022-10-25
1571,50대,3235039,1202.0,2022-10-25,2022-10-25
1572,60대,2672664,3352.0,2022-10-25,2022-10-25
1573,70대,1330863,6655.0,2022-10-25,2022-10-25
1574,80대 이상,785877,17150.0,2022-10-25,2022-10-25
1575,10대 미만,2785387,34.0,2022-10-24,2022-10-24
1576,10대,3232638,17.0,2022-10-24,2022-10-24
1577,20대,3732317,73.0,2022-10-24,2022-10-24
1578,30대,3691734,138.0,2022-10-24,2022-10-24
1579,40대,3861294,395.0,2022-10-24,2022-10-24
1580,50대,3228847,1201.0,2022-10-24,2022-10-24
1581,60대,2667599,3350.0,2022-10-24,2022-10-24
1582,70대,1327630,6653.0,2022-10-24,2022-10-24
1583,80대 이상,784190,17139.0,2022-10-24,2022-10-24
1584,10대 미만,2784137,34.0,2022-10-23,2022-10-23
1585,10대,3230773,17.0,2022-10-23,2022-10-23
1586,20대,3730503,73.0,2022-10-23,2022-10-23
1587,30대,3689561,138.0,2022-10-23,2022-10-23
1588,40대,3859009,395.0,2022-10-23,2022-10-23
1589,50대,3226978,1201.0,2022-10-23,2022-10-23
1590,60대,2666060,3346.0,2022-10-23,2022-10-23
1591,70대,1326765,6652.0,2022-10-23,2022-10-23
1592,80대 이상,783548,17134.0,2022-10-23,2022-10-23
1593,10대 미만,2782501,34.0,2022-10-22,2022-10-22
1594,10대,3227716,17.0,2022-10-22,2022-10-22
1595,20대,3727605,73.0,2022-10-22,2022-10-22
1596,30대,3686061,138.0,2022-10-22,2022-10-22
1597,40대,3855115,395.0,2022-10-22,2022-10-22
1598,50대,3222998,1199.0,2022-10-22,2022-10-22
1599,60대,2662415,3345.0,2022-10-22,2022-10-22
1600,70대,1324499,6649.0,2022-10-22,2022-10-22
1601,80대 이상,782168,17124.0,2022-10-22,2022-10-22
1602,10대 미만,2780835,34.0,2022-10-21,2022-10-21
1603,10대,3224495,17.0,2022-10-21,2022-10-21
1604,20대,3724376,73.0,2022-10-21,2022-10-21
1605,30대,3682409,138.0,2022-10-21,2022-10-21
1606,40대,3851228,394.0,2022-10-21,2022-10-21
1607,50대,3219193,1197.0,2022-10-21,2022-10-21
1608,60대,2658701,3345.0,2022-10-21,2022-10-21
1609,70대,1322233,6643.0,2022-10-21,2022-10-21
1610,80대 이상,780785,17111.0,2022-10-21,2022-10-21
1611,10대 미만,2779168,34.0,2022-10-20,2022-10-20
1612,10대,3221713,17.0,2022-10-20,2022-10-20
1613,20대,3721341,73.0,2022-10-20,2022-10-20
1614,30대,3679065,137.0,2022-10-20,2022-10-20
1615,40대,3847668,393.0,2022-10-20,2022-10-20
1616,50대,3215577,1194.0,2022-10-20,2022-10-20
1617,60대,2655258,3343.0,2022-10-20,2022-10-20
1618,70대,1320259,6635.0,2022-10-20,2022-10-20
1619,80대 이상,779497,17096.0,2022-10-20,2022-10-20
1620,10대 미만,2777595,34.0,2022-10-19,2022-10-19
1621,10대,3219025,17.0,2022-10-19,2022-10-19
1622,20대,3718094,73.0,2022-10-19,2022-10-19
1623,30대,3675447,137.0,2022-10-19,2022-10-19
1624,40대,3843836,393.0,2022-10-19,2022-10-19
1625,50대,3211824,1194.0,2022-10-19,2022-10-19
1626,60대,2651782,3342.0,2022-10-19,2022-10-19
1627,70대,1318291,6634.0,2022-10-19,2022-10-19
1628,80대 이상,778283,17075.0,2022-10-19,2022-10-19
1629,10대 미만,2775789,34.0,2022-10-18,2022-10-18
1630,10대,3215573,17.0,2022-10-18,2022-10-18
1631,20대,3714365,73.0,2022-10-18,2022-10-18
1632,30대,3671424,137.0,2022-10-18,2022-10-18
1633,40대,3839432,393.0,2022-10-18,2022-10-18
1634,50대,3207556,1192.0,2022-10-18,2022-10-18
1635,60대,2647854,3335.0,2022-10-18,2022-10-18
1636,70대,1315924,6626.0,2022-10-18,2022-10-18
1637,80대 이상,776778,17049.0,2022-10-18,2022-10-18
1638,10대 미만,2773626,34.0,2022-10-17,2022-10-17
1639,10대,3211235,17.0,2022-10-17,2022-10-17
1640,20대,3710148,73.0,2022-10-17,2022-10-17
1641,30대,3666502,137.0,2022-10-17,2022-10-17
1642,40대,3834290,394.0,2022-10-17,2022-10-17
1643,50대,3202777,1192.0,2022-10-17,2022-10-17
1644,60대,2643928,3333.0,2022-10-17,2022-10-17
1645,70대,1313534,6623.0,2022-10-17,2022-10-17
1646,80대 이상,775465,17048.0,2022-10-17,2022-10-17
1647,10대 미만,2772669,34.0,2022-10-16,2022-10-16
1648,10대,3209853,17.0,2022-10-16,2022-10-16
1649,20대,3708702,73.0,2022-10-16,2022-10-16
1650,30대,3664810,137.0,2022-10-16,2022-10-16
1651,40대,3832560,393.0,2022-10-16,2022-10-16
1652,50대,3201334,1190.0,2022-10-16,2022-10-16
1653,60대,2642696,3333.0,2022-10-16,2022-10-16
1654,70대,1312862,6621.0,2022-10-16,2022-10-16
1655,80대 이상,774979,17042.0,2022-10-16,2022-10-16
1656,10대 미만,2771276,34.0,2022-10-15,2022-10-15
1657,10대,3207434,17.0,2022-10-15,2022-10-15
1658,20대,3706150,73.0,2022-10-15,2022-10-15
1659,30대,3661996,136.0,2022-10-15,2022-10-15
1660,40대,3829581,393.0,2022-10-15,2022-10-15
1661,50대,3198055,1190.0,2022-10-15,2022-10-15
1662,60대,2639636,3330.0,2022-10-15,2022-10-15
1663,70대,1311054,6616.0,2022-10-15,2022-10-15
1664,80대 이상,773814,17019.0,2022-10-15,2022-10-15
1665,10대 미만,2769762,34.0,2022-10-14,2022-10-14
1666,10대,3204813,17.0,2022-10-14,2022-10-14
1667,20대,3703220,73.0,2022-10-14,2022-10-14
1668,30대,3658966,136.0,2022-10-14,2022-10-14
1669,40대,3826386,393.0,2022-10-14,2022-10-14
1670,50대,3194832,1190.0,2022-10-14,2022-10-14
1671,60대,2636470,3329.0,2022-10-14,2022-10-14
1672,70대,1309107,6608.0,2022-10-14,2022-10-14
1673,80대 이상,772683,17003.0,2022-10-14,2022-10-14
1674,10대 미만,2768184,34.0,2022-10-13,2022-10-13
1675,10대,3202189,17.0,2022-10-13,2022-10-13
1676,20대,3700161,73.0,2022-10-13,2022-10-13
1677,30대,3655628,136.0,2022-10-13,2022-10-13
1678,40대,3822884,393.0,2022-10-13,2022-10-13
1679,50대,3191417,1189.0,2022-10-13,2022-10-13
1680,60대,2633260,3323.0,2022-10-13,2022-10-13
1681,70대,1307331,6602.0,2022-10-13,2022-10-13
1682,80대 이상,771623,16981.0,2022-10-13,2022-10-13
1683,10대 미만,2766333,34.0,2022-10-12,2022-10-12
1684,10대,3199195,16.0,2022-10-12,2022-10-12
1685,20대,3696444,73.0,2022-10-12,2022-10-12
1686,30대,3651911,136.0,2022-10-12,2022-10-12
1687,40대,3818963,393.0,2022-10-12,2022-10-12
1688,50대,3187673,1188.0,2022-10-12,2022-10-12
1689,60대,2629705,3320.0,2022-10-12,2022-10-12
1690,70대,1305197,6597.0,2022-10-12,2022-10-12
1691,80대 이상,770328,16966.0,2022-10-12,2022-10-12
1692,10대 미만,2764289,34.0,2022-10-11,2022-10-11
1693,10대,3195407,16.0,2022-10-11,2022-10-11
1694,20대,3692331,73.0,2022-10-11,2022-10-11
1695,30대,3647576,136.0,2022-10-11,2022-10-11
1696,40대,3814335,393.0,2022-10-11,2022-10-11
1697,50대,3183396,1188.0,2022-10-11,2022-10-11
1698,60대,2625940,3319.0,2022-10-11,2022-10-11
1699,70대,1302822,6593.0,2022-10-11,2022-10-11
1700,80대 이상,769150,16956.0,2022-10-11,2022-10-11
1701,10대 미만,2763063,34.0,2022-10-10,2022-10-10
1702,10대,3193554,16.0,2022-10-10,2022-10-10
1703,20대,3690216,73.0,2022-10-10,2022-10-10
1704,30대,3645226,136.0,2022-10-10,2022-10-10
1705,40대,3811901,392.0,2022-10-10,2022-10-10
1706,50대,3181187,1188.0,2022-10-10,2022-10-10
1707,60대,2624173,3319.0,2022-10-10,2022-10-10
1708,70대,1301878,6592.0,2022-10-10,2022-10-10
1709,80대 이상,768572,16948.0,2022-10-10,2022-10-10
1710,10대 미만,2762212,34.0,2022-10-09,2022-10-09
1711,10대,3192453,16.0,2022-10-09,2022-10-09
1712,20대,3689095,73.0,2022-10-09,2022-10-09
1713,30대,3643919,136.0,2022-10-09,2022-10-09
1714,40대,3810557,392.0,2022-10-09,2022-10-09
1715,50대,3179991,1188.0,2022-10-09,2022-10-09
1716,60대,2623128,3318.0,2022-10-09,2022-10-09
1717,70대,1301247,6583.0,2022-10-09,2022-10-09
1718,80대 이상,768187,16935.0,2022-10-09,2022-10-09
1719,10대 미만,2760982,34.0,2022-10-08,2022-10-08
1720,10대,3190527,16.0,2022-10-08,2022-10-08
1721,20대,3686877,73.0,2022-10-08,2022-10-08
1722,30대,3641707,136.0,2022-10-08,2022-10-08
1723,40대,3808129,392.0,2022-10-08,2022-10-08
1724,50대,3177405,1188.0,2022-10-08,2022-10-08
1725,60대,2620580,3314.0,2022-10-08,2022-10-08
1726,70대,1299692,6576.0,2022-10-08,2022-10-08
1727,80대 이상,767236,16917.0,2022-10-08,2022-10-08
1728,10대 미만,2759682,34.0,2022-10-07,2022-10-07
1729,10대,3188315,16.0,2022-10-07,2022-10-07
1730,20대,3684387,73.0,2022-10-07,2022-10-07
1731,30대,3639246,136.0,2022-10-07,2022-10-07
1732,40대,3805451,392.0,2022-10-07,2022-10-07
1733,50대,3174710,1188.0,2022-10-07,2022-10-07
1734,60대,2617727,3308.0,2022-10-07,2022-10-07
1735,70대,1297928,6568.0,2022-10-07,2022-10-07
1736,80대 이상,766310,16899.0,2022-10-07,2022-10-07
1737,10대 미만,2758008,34.0,2022-10-06,2022-10-06
1738,10대,3185877,16.0,2022-10-06,2022-10-06
1739,20대,3681325,72.0,2022-10-06,2022-10-06
1740,30대,3636215,135.0,2022-10-06,2022-10-06
1741,40대,3802402,391.0,2022-10-06,2022-10-06
1742,50대,3171547,1188.0,2022-10-06,2022-10-06
1743,60대,2614648,3304.0,2022-10-06,2022-10-06
1744,70대,1296179,6562.0,2022-10-06,2022-10-06
1745,80대 이상,765296,16871.0,2022-10-06,2022-10-06
1746,10대 미만,2756121,34.0,2022-10-05,2022-10-05
1747,10대,3182768,16.0,2022-10-05,2022-10-05
1748,20대,3677428,72.0,2022-10-05,2022-10-05
1749,30대,3632259,134.0,2022-10-05,2022-10-05
1750,40대,3798245,390.0,2022-10-05,2022-10-05
1751,50대,3167492,1184.0,2022-10-05,2022-10-05
1752,60대,2610864,3297.0,2022-10-05,2022-10-05
1753,70대,1293867,6557.0,2022-10-05,2022-10-05
1754,80대 이상,763850,16860.0,2022-10-05,2022-10-05
1755,10대 미만,2753711,34.0,2022-10-04,2022-10-04
1756,10대,3178466,16.0,2022-10-04,2022-10-04
1757,20대,3672729,72.0,2022-10-04,2022-10-04
1758,30대,3627301,134.0,2022-10-04,2022-10-04
1759,40대,3793090,390.0,2022-10-04,2022-10-04
1760,50대,3162728,1184.0,2022-10-04,2022-10-04
1761,60대,2606567,3296.0,2022-10-04,2022-10-04
1762,70대,1291148,6554.0,2022-10-04,2022-10-04
1763,80대 이상,762444,16848.0,2022-10-04,2022-10-04
1764,10대 미만,2747054,34.0,2022-09-30,2022-09-30
1765,10대,3168905,16.0,2022-09-30,2022-09-30
1766,20대,3662694,72.0,2022-09-30,2022-09-30
1767,30대,3616583,134.0,2022-09-30,2022-09-30
1768,40대,3781663,390.0,2022-09-30,2022-09-30
1769,50대,3151926,1177.0,2022-09-30,2022-09-30
1770,60대,2596249,3284.0,2022-09-30,2022-09-30
1771,70대,1285181,6522.0,2022-09-30,2022-09-30
1772,80대 이상,758846,16777.0,2022-09-30,2022-09-30
1773,10대 미만,2742690,33.0,2022-09-28,2022-09-28
1774,10대,3161920,16.0,2022-09-28,2022-09-28
1775,20대,3654523,72.0,2022-09-28,2022-09-28
1776,30대,3608590,134.0,2022-09-28,2022-09-28
1777,40대,3773138,388.0,2022-09-28,2022-09-28
1778,50대,3143583,1174.0,2022-09-28,2022-09-28
1779,60대,2588404,3278.0,2022-09-28,2022-09-28
1780,70대,1280729,6505.0,2022-09-28,2022-09-28
1781,80대 이상,756212,16718.0,2022-09-28,2022-09-28
1782,10대 미만,2740054,33.0,2022-09-27,2022-09-27
1783,10대,3157531,16.0,2022-09-27,2022-09-27
1784,20대,3649422,72.0,2022-09-27,2022-09-27
1785,30대,3603569,134.0,2022-09-27,2022-09-27
1786,40대,3767978,387.0,2022-09-27,2022-09-27
1787,50대,3138601,1172.0,2022-09-27,2022-09-27
1788,60대,2583837,3270.0,2022-09-27,2022-09-27
1789,70대,1278164,6500.0,2022-09-27,2022-09-27
1790,80대 이상,754507,16688.0,2022-09-27,2022-09-27
1791,10대 미만,2731118,32.0,2022-09-23,2022-09-23
1792,10대,3143571,16.0,2022-09-23,2022-09-23
1793,20대,3635399,72.0,2022-09-23,2022-09-23
1794,30대,3588954,133.0,2022-09-23,2022-09-23
1795,40대,3752013,385.0,2022-09-23,2022-09-23
1796,50대,3123838,1169.0,2022-09-23,2022-09-23
1797,60대,2570336,3255.0,2022-09-23,2022-09-23
1798,70대,1269988,6462.0,2022-09-23,2022-09-23
1799,80대 이상,749804,16553.0,2022-09-23,2022-09-23
1800,10대 미만,2728853,32.0,2022-09-22,2022-09-22
1801,10대,3140046,16.0,2022-09-22,2022-09-22
1802,20대,3631439,71.0,2022-09-22,2022-09-22
1803,30대,3585078,133.0,2022-09-22,2022-09-22
1804,40대,3747853,381.0,2022-09-22,2022-09-22
1805,50대,3119916,1168.0,2022-09-22,2022-09-22
1806,60대,2566569,3250.0,2022-09-22,2022-09-22
1807,70대,1267748,6453.0,2022-09-22,2022-09-22
1808,80대 이상,748438,16505.0,2022-09-22,2022-09-22
1809,10대 미만,2726252,32.0,2022-09-21,2022-09-21
1810,10대,3136238,16.0,2022-09-21,2022-09-21
1811,20대,3626658,71.0,2022-09-21,2022-09-21
1812,30대,3580408,133.0,2022-09-21,2022-09-21
1813,40대,3743177,381.0,2022-09-21,2022-09-21
1814,50대,3115490,1166.0,2022-09-21,2022-09-21
1815,60대,2562393,3246.0,2022-09-21,2022-09-21
1816,70대,1265327,6439.0,2022-09-21,2022-09-21
1817,80대 이상,747025,16466.0,2022-09-21,2022-09-21
1818,10대 미만,2723087,32.0,2022-09-20,2022-09-20
1819,10대,3131178,16.0,2022-09-20,2022-09-20
1820,20대,3620857,70.0,2022-09-20,2022-09-20
1821,30대,3574826,132.0,2022-09-20,2022-09-20
1822,40대,3737361,380.0,2022-09-20,2022-09-20
1823,50대,3109978,1163.0,2022-09-20,2022-09-20
1824,60대,2557140,3239.0,2022-09-20,2022-09-20
1825,70대,1262275,6425.0,2022-09-20,2022-09-20
1826,80대 이상,745035,16434.0,2022-09-20,2022-09-20
1827,10대 미만,2719058,32.0,2022-09-19,2022-09-19
1828,10대,3124650,16.0,2022-09-19,2022-09-19
1829,20대,3614490,70.0,2022-09-19,2022-09-19
