,나이,확진자 수,사망자 수,날짜,날짜_dt
98,80대 이상,1057628,20465.0,2023-04-08,2023-04-08
99,10대 미만,3118404,37.0,2023-04-07,2023-04-07
100,10대,3846005,23.0,2023-04-07,2023-04-07
101,20대,4501494,80.0,2023-04-07,2023-04-07
102,30대,4523818,160.0,2023-04-07,2023-04-07
103,40대,4705161,468.0,2023-04-07,2023-04-07
104,50대,4035399,1405.0,2023-04-07,2023-04-07
105,60대,3376196,3900.0,2023-04-07,2023-04-07
106,70대,1731020,7782.0,2023-04-07,2023-04-07
107,80대 이상,1057062,20463.0,2023-04-07,2023-04-07
108,10대 미만,3117907,37.0,2023-04-06,2023-04-06
109,10대,3844819,23.0,2023-04-06,2023-04-06
110,20대,4499757,80.0,2023-04-06,2023-04-06
111,30대,4522062,160.0,2023-04-06,2023-04-06
112,40대,4703708,468.0,2023-04-06,2023-04-06
113,50대,4033971,1404.0,2023-04-06,2023-04-06
114,60대,3374863,3900.0,2023-04-06,2023-04-06
115,70대,1730219,7780.0,2023-04-06,2023-04-06
116,80대 이상,1056518,20457.0,2023-04-06,2023-04-06
117,10대 미만,3117349,37.0,2023-04-05,2023-04-05
118,10대,3843400,23.0,2023-04-05,2023-04-05
119,20대,4497739,80.0,2023-04-05,2023-04-05
120,30대,4520138,160.0,2023-04-05,2023-04-05
121,40대,4702009,467.0,2023-04-05,2023-04-05
122,50대,4032361,1404.0,2023-04-05,2023-04-05
123,60대,3373447,3897.0,2023-04-05,2023-04-05
124,70대,1729358,7780.0,2023-04-05,2023-04-05
125,80대 이상,1055939,20448.0,2023-04-05,2023-04-05
126,10대 미만,3116644,37.0,2023-04-04,2023-04-04
127,10대,3841541,23.0,2023-04-04,2023-04-04
128,20대,4495383,80.0,2023-04-04,2023-04-04
129,30대,4517814,160.0,2023-04-04,2023-04-04
130,40대,4699995,466.0,2023-04-04,2023-04-04
131,50대,4030490,1404.0,2023-04-04,2023-04-04
132,60대,3371849,3897.0,2023-04-04,2023-04-04
133,70대,1728359,7777.0,2023-04-04,2023-04-04
134,80대 이상,1055200,20445.0,2023-04-04,2023-04-04
135,10대 미만,3115997,37.0,2023-04-03,2023-04-03
136,10대,3839761,23.0,2023-04-03,2023-04-03
137,20대,4493225,80.0,2023-04-03,2023-04-03
138,30대,4515508,160.0,2023-04-03,2023-04-03
139,40대,4697933,466.0,2023-04-03,2023-04-03
140,50대,4028811,1404.0,2023-04-03,2023-04-03
141,60대,3370506,3897.0,2023-04-03,2023-04-03
142,70대,1727464,7776.0,2023-04-03,2023-04-03
143,80대 이상,1054695,20438.0,2023-04-03,2023-04-03
144,10대 미만,3115227,37.0,2023-04-01,2023-04-01
145,10대,3838014,23.0,2023-04-01,2023-04-01
146,20대,4491190,80.0,2023-04-01,2023-04-01
147,30대,4513313,160.0,2023-04-01,2023-04-01
148,40대,4695768,465.0,2023-04-01,2023-04-01
149,50대,4027041,1403.0,2023-04-01,2023-04-01
150,60대,3368840,3895.0,2023-04-01,2023-04-01
151,70대,1726424,7772.0,2023-04-01,2023-04-01
152,80대 이상,1054010,20435.0,2023-04-01,2023-04-01
153,10대 미만,3114709,37.0,2023-03-31,2023-03-31
154,10대,3836593,23.0,2023-03-31,2023-03-31
155,20대,4489823,79.0,2023-03-31,2023-03-31
156,30대,4511909,160.0,2023-03-31,2023-03-31
157,40대,4694448,465.0,2023-03-31,2023-03-31
158,50대,4025746,1403.0,2023-03-31,2023-03-31
159,60대,3367635,3895.0,2023-03-31,2023-03-31
160,70대,1725684,7772.0,2023-03-31,2023-03-31
161,80대 이상,1053583,20431.0,2023-03-31,2023-03-31
162,10대 미만,3114154,37.0,2023-03-30,2023-03-30
163,10대,3835205,23.0,2023-03-30,2023-03-30
164,20대,4488214,79.0,2023-03-30,2023-03-30
165,30대,4510296,160.0,2023-03-30,2023-03-30
166,40대,4692951,465.0,2023-03-30,2023-03-30
167,50대,4024465,1403.0,2023-03-30,2023-03-30
168,60대,3366398,3894.0,2023-03-30,2023-03-30
169,70대,1724972,7770.0,2023-03-30,2023-03-30
170,80대 이상,1053107,20424.0,2023-03-30,2023-03-30
171,10대 미만,3113559,37.0,2023-03-29,2023-03-29
172,10대,3833670,23.0,2023-03-29,2023-03-29
173,20대,4486422,79.0,2023-03-29,2023-03-29
174,30대,4508638,160.0,2023-03-29,2023-03-29
175,40대,4691350,464.0,2023-03-29,2023-03-29
176,50대,4023077,1403.0,2023-03-29,2023-03-29
177,60대,3365170,3892.0,2023-03-29,2023-03-29
178,70대,1724228,7769.0,2023-03-29,2023-03-29
179,80대 이상,1052609,20418.0,2023-03-29,2023-03-29
180,10대 미만,3112868,37.0,2023-03-28,2023-03-28
181,10대,3831611,23.0,2023-03-28,2023-03-28
182,20대,4484330,79.0,2023-03-28,2023-03-28
183,30대,4506715,160.0,2023-03-28,2023-03-28
184,40대,4689487,464.0,2023-03-28,2023-03-28
185,50대,4021499,1403.0,2023-03-28,2023-03-28
186,60대,3363722,3890.0,2023-03-28,2023-03-28
187,70대,1723400,7768.0,2023-03-28,2023-03-28
188,80대 이상,1051957,20407.0,2023-03-28,2023-03-28
189,10대 미만,3112214,37.0,2023-03-27,2023-03-27
190,10대,3829717,23.0,2023-03-27,2023-03-27
191,20대,4482379,79.0,2023-03-27,2023-03-27
192,30대,4504765,160.0,2023-03-27,2023-03-27
193,40대,4687668,463.0,2023-03-27,2023-03-27
194,50대,4020030,1403.0,2023-03-27,2023-03-27
195,60대,3362549,3889.0,2023-03-27,2023-03-27
196,70대,1722630,7766.0,2023-03-27,2023-03-27
197,80대 이상,1051508,20403.0,2023-03-27,2023-03-27
198,10대 미만,3111403,37.0,2023-03-25,2023-03-25
199,10대,3827637,23.0,2023-03-25,2023-03-25
200,20대,4480323,79.0,2023-03-25,2023-03-25
201,30대,4502792,160.0,2023-03-25,2023-03-25
202,40대,4685767,463.0,2023-03-25,2023-03-25
203,50대,4018347,1403.0,2023-03-25,2023-03-25
204,60대,3360957,3889.0,2023-03-25,2023-03-25
205,70대,1721737,7764.0,2023-03-25,2023-03-25
206,80대 이상,1050932,20399.0,2023-03-25,2023-03-25
207,10대 미만,3110829,37.0,2023-03-24,2023-03-24
208,10대,3825892,22.0,2023-03-24,2023-03-24
209,20대,4478827,79.0,2023-03-24,2023-03-24
210,30대,4501363,160.0,2023-03-24,2023-03-24
211,40대,4684357,462.0,2023-03-24,2023-03-24
212,50대,4017186,1403.0,2023-03-24,2023-03-24
213,60대,3359839,3889.0,2023-03-24,2023-03-24
214,70대,1721005,7763.0,2023-03-24,2023-03-24
215,80대 이상,1050442,20396.0,2023-03-24,2023-03-24
216,10대 미만,3110210,37.0,2023-03-23,2023-03-23
217,10대,3824213,22.0,2023-03-23,2023-03-23
218,20대,4477316,79.0,2023-03-23,2023-03-23
219,30대,4499932,160.0,2023-03-23,2023-03-23
220,40대,4682818,461.0,2023-03-23,2023-03-23
221,50대,4015930,1403.0,2023-03-23,2023-03-23
222,60대,3358750,3889.0,2023-03-23,2023-03-23
223,70대,1720323,7761.0,2023-03-23,2023-03-23
224,80대 이상,1049965,20389.0,2023-03-23,2023-03-23
225,10대 미만,3109599,37.0,2023-03-22,2023-03-22
226,10대,3822409,22.0,2023-03-22,2023-03-22
227,20대,4475576,79.0,2023-03-22,2023-03-22
228,30대,4498298,160.0,2023-03-22,2023-03-22
229,40대,4681175,461.0,2023-03-22,2023-03-22
230,50대,4014545,1402.0,2023-03-22,2023-03-22
231,60대,3357457,3886.0,2023-03-22,2023-03-22
232,70대,1719528,7758.0,2023-03-22,2023-03-22
233,80대 이상,1049470,20382.0,2023-03-22,2023-03-22
234,10대 미만,3108874,37.0,2023-03-21,2023-03-21
